Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,1st Dose,2nd Dose,3rd Dose,4th Dose,5th Dose,1st Visit,2nd Visit,3rd Visit,4th Visit,Counseling on Post partum FP method,No. of mother Suffering from APH,Inj.antenatal costeroides in(24-34 weeks),No.of Pregnant mother Receive Misoprostol,Normal,C-Section,Others (Forcep/Vacuum/Breech),No. of delivery followed (AMTSL),No. of mother uses Partograph,No. of mother Suffering from IPH,No. of services post abortion care,No. of pre-eclampsia patient,1st Visit (PNC),2nd Visit (PNC),3rd Visit (PNC),4th Visit (PNC),No. of mother counseled on FP method after Postpartum,No. of mother suffering from PPH after Delivery
01,Rajshahi,0109,Bogura,010901,Sariakandi,1,"Bhelabari, Rural Dispensary(RD)",0,0,0,0,0,142,56,34,12,136,0,0,6,0,0,0,0,0,0,0,0,18,0,3,21,36,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,2,"Bohail, Others",0,0,0,0,0,61,18,37,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,26,9,2,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,3,"Chaluabari, Others",0,0,0,0,0,173,165,68,43,449,0,0,0,0,0,0,0,0,0,0,0,0,1,15,38,54,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,4,"Chandan Baisha, Others",0,0,0,0,0,32,41,37,13,48,0,0,0,0,0,0,0,0,0,0,0,0,27,24,38,67,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,5,"Fulbari, UH&FWC",0,0,0,0,0,191,145,94,17,338,0,0,0,2,0,0,2,2,0,0,0,3,3,3,3,0,2
01,Rajshahi,0109,Bogura,010901,Sariakandi,6,"Hat Sherpur, Rural Dispensary(RD)",0,0,0,0,0,92,34,5,0,82,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,4,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,7,"Kamalpur, UH&FWC",0,0,0,0,0,130,94,57,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,1,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,8,"Karnibari, Others",0,0,0,0,0,115,105,72,67,76,0,0,2,0,0,0,0,0,0,0,0,0,3,7,15,12,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,9,"Kazla, UH&FWC",0,0,0,0,0,118,4,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,4,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,10,"Kutubpur, UH&FWC",0,0,0,0,0,290,138,63,51,553,0,0,2,7,0,0,7,0,0,0,0,7,3,13,91,97,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,11,"Narchi, UH&FWC",8,7,6,4,2,304,193,112,39,94,0,0,1,0,0,0,0,0,0,0,0,15,10,38,25,42,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,12,"Sariakandi, Sadar Clinic",0,0,0,0,0,816,392,145,171,304,1,0,1,0,0,0,0,0,0,8,0,0,13,7,86,289,0
01,Rajshahi,0109,Bogura,010902,Sherpur,1,"Bhabanipur, UH&FWC",0,0,0,0,0,330,255,183,105,398,0,0,6,14,0,0,14,0,0,0,0,17,31,85,120,380,0
01,Rajshahi,0109,Bogura,010902,Sherpur,2,"Bishalpur, Rural Dispensary(RD)",0,2,0,0,0,86,33,17,15,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,16,0
01,Rajshahi,0109,Bogura,010902,Sherpur,3,"Garidaha, Rural Dispensary(RD)",0,0,0,0,0,52,35,26,16,85,0,0,4,0,0,0,0,0,0,0,0,1,1,11,33,81,0
01,Rajshahi,0109,Bogura,010902,Sherpur,4,"Khamarkandi, UH&FWC",0,0,0,0,0,165,50,26,31,169,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,43,0
01,Rajshahi,0109,Bogura,010902,Sherpur,5,"Khanpur, UH&FWC",0,0,0,0,0,268,93,57,29,189,0,0,1,0,0,0,0,0,0,0,0,0,7,18,26,28,0
01,Rajshahi,0109,Bogura,010902,Sherpur,6,"Kusumbi, Rural Dispensary(RD)",0,0,0,0,0,69,88,74,56,380,0,0,3,0,0,0,0,0,0,0,0,13,13,68,73,380,0
01,Rajshahi,0109,Bogura,010902,Sherpur,7,"Mirzapur, UH&FWC",0,0,0,0,0,523,339,250,125,512,0,0,16,1,0,0,1,1,0,0,0,1,14,44,49,98,0
01,Rajshahi,0109,Bogura,010902,Sherpur,8,"Shimabari, UH&FWC",0,0,0,0,0,556,441,365,317,1560,1,0,22,23,0,0,23,20,0,0,0,107,107,266,306,1207,2
01,Rajshahi,0109,Bogura,010902,Sherpur,9,"Sughat, UH&FWC",0,0,0,0,0,452,252,171,148,546,0,0,2,22,0,0,22,0,0,0,0,22,19,35,51,126,3
01,Rajshahi,0109,Bogura,010902,Sherpur,10,"Pouroshova, Sadar Clinic",0,0,0,0,0,193,121,73,95,276,11,0,0,0,0,0,0,0,0,0,0,0,0,48,153,190,0
01,Rajshahi,0109,Bogura,010903,Shibganj,1,"Shibganj, Sadar Clinic",0,0,0,0,0,28,91,67,22,173,0,0,1,0,0,0,0,0,0,3,0,0,15,22,25,58,0
01,Rajshahi,0109,Bogura,010903,Shibganj,2,"Atmul, UH&FWC",0,0,0,0,0,241,209,93,47,472,0,0,3,2,0,0,2,0,1,0,0,2,4,36,83,332,0
01,Rajshahi,0109,Bogura,010903,Shibganj,3,"Bihar, UH&FWC",0,0,0,0,0,71,39,26,14,108,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0
01,Rajshahi,0109,Bogura,010903,Shibganj,4,"Buriganj, UH&FWC",0,0,0,0,0,199,185,144,144,672,0,0,9,10,0,0,10,0,0,0,0,10,45,35,21,111,0
01,Rajshahi,0109,Bogura,010903,Shibganj,5,"Deuli, UH&FWC",0,0,0,0,0,60,25,20,9,26,0,0,6,0,0,0,0,0,0,0,0,0,5,13,4,9,0
