Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,Wrapping after Birth within 1 minute,No. of uses 7.1% chlorhexidine digluconate for umbilical cord care,No. of newborn touch skin-care after Gluconate umbilical cord care,No. of newborn breastfeeding (First 24 hours),No. of newborn resitated with bag-mask,1st Visit,2nd Visit,3rd Visit,4th Visit,No. of Reffered Complicated Pregnant Mother in antenatal period,No. of Reffered Complicated Pregnant Mother in Delivery period,No. of Reffered Complicated Pregnant Mother in postnatal period,No. of Reffered patient to Newborn taken by MgSO4,No. of Reffered complication acceptors,No. of ECP Referred,Treatment/Advised,Reffered,Counseling on Adolescence change,Counseling on marriage and adolescent girl received pregnancy,Child No. of adolescent received IFA,Treatment on RTI/STD,Counseling on RTI/STD,Counseling on diversified food,Counseling on prevention of adolescent and violence,Counseling on prevention and cure for mental problems and drug addiction,No. of adolescent girl counseled on Sanitary Pad,Reffered (Adolescent),No. of Treatment on RTI/STI infection,No. of MR(MVA) services,No. of MR Service By Medicine,Total VIA Positive,Total VIA Negative,Total CBE Positive,Total Negative
01,Rajshahi,0109,Bogura,010901,Sariakandi,1,"Bhelabari, Rural Dispensary(RD)",0,0,0,0,0,18,0,3,21,3,0,0,0,0,0,0,0,117,112,87,117,20,117,117,117,117,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,2,"Bohail, Others",0,0,0,0,0,0,3,26,9,0,0,0,0,0,0,0,0,238,238,25,238,28,238,238,238,238,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,3,"Chaluabari, Others",0,0,0,0,0,0,1,15,38,0,0,0,0,0,0,0,0,167,167,153,167,167,167,167,167,167,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,4,"Chandan Baisha, Others",0,0,0,0,0,0,27,24,38,0,0,0,0,0,0,0,0,86,88,77,77,56,95,85,80,94,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,5,"Fulbari, UH&FWC",2,2,2,2,0,3,3,3,3,0,0,0,0,0,0,0,0,175,180,347,131,82,205,130,125,132,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,6,"Hat Sherpur, Rural Dispensary(RD)",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,29,29,17,29,1,29,29,29,29,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,7,"Kamalpur, UH&FWC",0,0,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0,318,318,290,318,0,318,318,318,318,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,8,"Karnibari, Others",0,0,0,0,0,0,3,7,15,0,0,0,0,0,1,0,0,322,322,274,322,322,322,322,322,322,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,9,"Kazla, UH&FWC",0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0,0,268,268,31,268,47,268,268,268,268,0,0,0,0,0,0,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,10,"Kutubpur, UH&FWC",7,7,7,7,0,7,3,13,91,0,0,0,0,0,0,0,0,693,693,346,693,308,693,693,693,693,0,50,0,4,0,0,0,0
