Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,SI,Facility,No. of neonatal start KMC,No. of neonatal start KMC hospital delivery,No. of child discharge,No. of child discharge on request,No. of child discontinue KMC services,No. of child reffered for complication,No. of death received KMC services,No. of neonatal KMC followup,BCG (after birth),1/Child age 6 weeks,2/Child age 10 weeks,3/Child age 14 weeks,1/Child age 6 weeks (PCV),2/Child age 10 weeks (PCV),3/Child age 14 weeks (PCV),1/Child age 6 weeks (BOPV),2/Child age 10 weeks (BOPV),3/Child age 14 weeks (BOPV),1/Child age 6 weeks (IPV),2/Child age 14 weeks (IPV),1/Child age 9 months,2/Child age 15 months,Live Birth,Low birth weight Newborn (weight <2500gm),Low birth weight Newborn (weight <2000gm),Low birth weight Newborn (Before 37 weeks),Fresh,Macerated,Total still birth,Neo-Death Maternal,Maternal Death,Male,Female,Child Male (0-1)year,Child Female (0-5)year,Others,Total,Female (Outdoor),Child (0-1) year,Child (0-5) year,Total (Outdoor),No. of Facility Health Education,No. of School Health Education by SACMO
01,Rajshahi,0109,Bogura,010901,Sariakandi,1,"Bhelabari, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1034,80,249,0,1423,0,0,0,,4,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,2,"Bohail, Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,1670,357,617,0,3226,0,0,0,,44,4
01,Rajshahi,0109,Bogura,010901,Sariakandi,3,"Chaluabari, Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,1091,167,682,0,2383,0,0,0,,48,42
01,Rajshahi,0109,Bogura,010901,Sariakandi,4,"Chandan Baisha, Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,1656,197,751,0,2857,0,0,0,,48,38
01,Rajshahi,0109,Bogura,010901,Sariakandi,5,"Fulbari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,206,3125,277,813,80,4501,0,0,0,,16,8
01,Rajshahi,0109,Bogura,010901,Sariakandi,6,"Hat Sherpur, Rural Dispensary(RD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,408,85,127,0,705,0,0,0,,0,0
01,Rajshahi,0109,Bogura,010901,Sariakandi,7,"Kamalpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,2699,527,1328,300,5285,0,0,0,,48,33
01,Rajshahi,0109,Bogura,010901,Sariakandi,8,"Karnibari, Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,539,1881,250,674,216,3560,0,0,0,,8,8
01,Rajshahi,0109,Bogura,010901,Sariakandi,9,"Kazla, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,2163,373,445,0,3644,0,0,0,,48,40
01,Rajshahi,0109,Bogura,010901,Sariakandi,10,"Kutubpur, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,461,4370,247,1044,0,6122,0,0,0,,48,42
