Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,Month_Code,Month_Name,Year,SI,Facility,1st Dose,2nd Dose,3rd Dose,4th Dose,5th Dose,1st Visit,2nd Visit,3rd Visit,4th Visit,Counseling on Post partum FP method,No. of mother Suffering from APH,Inj.antenatal costeroides in(24-34 weeks),No.of Pregnant mother Receive Misoprostol,Normal,C-Section,Others (Forcep/Vacuum/Breech),No. of delivery followed (AMTSL),No. of mother uses Partograph,No. of mother Suffering from IPH,No. of services post abortion care,No. of pre-eclampsia patient,1st Visit (PNC),2nd Visit (PNC),3rd Visit (PNC),4th Visit (PNC),No. of mother counseled on FP method after Postpartum,No. of mother suffering from PPH after Delivery
01,Rajshahi,0111,,011101,,10,October,2024,1,"Bakterpur, UH&FWC",0,0,0,0,0,34,10,7,5,56,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,22,0
01,Rajshahi,0111,,011101,,10,October,2024,2,"Balihar, UH&FWC",0,0,0,0,0,48,10,10,5,73,0,0,2,0,0,0,0,0,0,0,0,0,0,13,8,73,0
01,Rajshahi,0111,,011101,,10,October,2024,3,"Barshail, UH&FWC",0,0,0,0,0,42,6,7,7,62,0,0,3,1,0,0,1,1,0,0,0,1,2,5,10,18,0
01,Rajshahi,0111,,011101,,10,October,2024,4,"Boalia, UH&FWC",0,0,0,0,0,10,24,5,4,40,0,0,4,0,0,0,0,0,0,0,0,0,0,4,6,10,0
01,Rajshahi,0111,,011101,,10,October,2024,5,"Chandipur, UH&FWC",0,0,0,0,0,74,23,11,14,122,0,0,1,2,0,0,2,0,0,0,0,2,0,7,17,26,0
01,Rajshahi,0111,,011101,,10,October,2024,6,"Dubalhati, UH&FWC",0,0,0,0,0,45,30,16,10,101,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,7,"Hapania, UH&FWC",0,0,0,0,0,49,16,9,20,63,0,0,0,0,0,0,0,0,0,0,0,0,23,20,20,63,0
01,Rajshahi,0111,,011101,,10,October,2024,8,"Hashaigari, UH&FWC",0,0,0,0,0,48,21,6,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,9,"Kirtipur, UH&FWC",0,0,0,0,0,11,30,18,2,40,0,0,2,0,0,0,0,0,0,0,0,0,0,6,6,25,0
01,Rajshahi,0111,,011101,,10,October,2024,10,"Shikarpur, UH&FWC",0,0,0,0,0,7,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0,0
01,Rajshahi,0111,,011101,,10,October,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,33,11,8,8,60,0,0,5,0,0,0,0,0,0,0,0,0,0,2,6,8,0
01,Rajshahi,0111,,011101,,10,October,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,22,15,12,3,52,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,3,0
01,Rajshahi,0111,,011101,,10,October,2024,13,"Naogaon, MCWC",2,4,3,2,1,124,135,75,37,371,0,0,0,13,1,0,13,13,0,0,0,14,8,10,5,29,0
