Division_Code,Division_Name,District_Code,District_Name,Thana_Code,Thana_Name,Month_Code,Month_Name,Year,SI,Facility,Wrapping after Birth within 1 minute,No. of uses 7.1% chlorhexidine digluconate for umbilical cord care,No. of newborn touch skin-care after Gluconate umbilical cord care,No. of newborn breastfeeding (First 24 hours),No. of newborn resitated with bag-mask,1st Visit,2nd Visit,3rd Visit,4th Visit,No. of Reffered Complicated Pregnant Mother in antenatal period,No. of Reffered Complicated Pregnant Mother in Delivery period,No. of Reffered Complicated Pregnant Mother in postnatal period,No. of Reffered patient to Newborn taken by MgSO4,No. of Reffered complication acceptors,No. of ECP Referred,Treatment/Advised,Reffered,Counseling on Adolescence change,Counseling on marriage and adolescent girl received pregnancy,Child No. of adolescent received IFA,Treatment on RTI/STD,Counseling on RTI/STD,Counseling on diversified food,Counseling on prevention of adolescent and violence,Counseling on prevention and cure for mental problems and drug addiction,No. of adolescent girl counseled on Sanitary Pad,Reffered (Adolescent),No. of Treatment on RTI/STI infection,No. of MR(MVA) services,No. of MR Service By Medicine,Total VIA Positive,Total VIA Negative,Total CBE Positive,Total Negative
01,Rajshahi,0111,,011101,,10,October,2024,1,"Bakterpur, UH&FWC",0,0,0,0,0,0,8,7,7,0,0,0,0,0,0,2,0,20,14,16,16,4,21,8,0,22,0,3,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,2,"Balihar, UH&FWC",0,0,0,0,0,0,0,13,3,0,0,0,0,0,1,0,0,15,15,15,15,0,15,6,6,15,0,3,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,3,"Barshail, UH&FWC",1,1,1,1,0,1,2,5,10,4,1,0,0,0,0,1,0,25,25,25,21,3,25,25,25,25,0,3,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,4,"Boalia, UH&FWC",0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,1,45,28,40,10,15,20,4,14,40,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,5,"Chandipur, UH&FWC",2,2,2,2,0,2,0,7,17,26,2,0,0,0,1,1,0,34,38,46,47,2,37,28,42,58,0,8,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,6,"Dubalhati, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,86,59,46,18,86,86,86,86,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,7,"Hapania, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,70,83,30,83,83,83,83,0,30,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,8,"Hashaigari, UH&FWC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,14,18,7,18,18,18,18,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,9,"Kirtipur, UH&FWC",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,15,28,10,3,30,10,0,20,0,0,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,10,"Shikarpur, UH&FWC",0,0,0,0,0,0,0,2,6,0,0,0,0,3,0,2,5,12,12,11,12,12,0,0,0,10,2,12,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,11,"Tilakpur, UH&FWC",0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,31,31,20,31,0,31,31,31,31,0,6,0,0,0,0,0,0
01,Rajshahi,0111,,011101,,10,October,2024,12,"Shailgachhi, UH&FWC",0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,13,13,10,13,0,13,13,13,13,0,4,0,0,0,0,0,0
